cycles_50,epigenomics_50,genome_50,soykb_50,cycles_100,epigenomics_100,genome_100,soykb_100,cycles_150,epigenomics_150,genome_150,soykb_150
13.353447437286375,42.50071573257446,39.79866623878479,36.97214722633362,51.90481209754944,48.52115559577942,122.26220607757568,64.24099159240723,121.28343510627748,61.85743832588196,168.6348433494568,111.27566409111023
15.720090866088867,42.653483152389526,41.84955358505249,37.03143858909607,61.35087609291077,49.13709163665772,130.36910271644592,66.32589030265808,130.95705223083496,65.50271582603455,170.08522033691406,113.85974264144897
15.725645065307615,42.68863821029663,42.14657735824585,37.90136671066284,62.69664525985718,49.23909521102905,131.59422636032104,67.32896995544434,137.22614455223083,65.72905206680298,204.0955605506897,115.72583222389221
17.926960229873657,42.75427556037903,42.754602670669556,39.049861669540405,64.10590767860413,49.32385778427124,132.97623896598816,71.71805191040039,139.62649488449097,66.69750833511353,210.21429824829102,117.62757873535156
18.004132509231567,42.92782688140869,42.95599961280823,39.24974465370178,64.79197764396667,49.445778131484985,133.07962894439697,72.66613578796387,144.07284712791443,67.18744421005249,210.75983309745789,118.33004331588745
18.233142852783203,42.93451642990112,45.973257541656494,39.78315567970276,70.93226075172424,50.21025252342224,133.18223643302917,73.46343874931335,150.62473583221436,67.83101296424866,223.8680646419525,118.857106924057
18.356873273849487,43.07286262512207,46.7139196395874,40.0854434967041,73.1861081123352,50.250248193740845,134.60213947296143,76.07546424865723,153.92120170593262,68.24616122245789,230.13241577148438,121.2944347858429
18.51860976219177,43.16761040687561,47.01863169670105,40.33728504180908,74.19159412384033,50.262232065200806,134.8954882621765,78.4570882320404,156.40332674980164,68.3740746974945,254.8628203868866,121.54039311408997
19.3309543132782,43.29095697402954,47.02808976173401,40.383692502975464,76.28124761581421,51.41600918769837,135.8347818851471,80.1889660358429,157.40224075317383,68.65886759757996,264.97697138786316,130.12640357017517
19.417552947998047,43.65858459472656,48.70139455795288,40.48661756515503,77.21704387664795,52.07768392562866,135.89751601219177,82.63475823402405,163.63624572753906,68.86587691307068,270.4696969985962,133.57889223098755
19.72281765937805,43.66414642333984,49.75883483886719,41.187291860580444,78.3629195690155,52.55675792694092,137.1887366771698,83.1731550693512,,,,
19.971720695495605,43.76834177970886,50.558332204818726,41.193076848983765,78.4453854560852,53.48360085487366,172.34992051124573,83.36580467224121,,,,
20.223474979400635,43.88452482223511,52.936381816864014,41.60171914100647,78.49390959739685,53.8649628162384,173.57752299308777,87.51543021202087,,,,
20.5898540019989,45.21038198471069,56.284427642822266,41.76858997344971,81.18952417373657,54.13491606712341,175.05643963813782,94.03223943710327,,,,
21.07783532142639,45.50653719902039,56.752795934677124,42.00813698768616,91.37777137756348,54.67216372489929,176.44144415855408,100.07668447494507,,,,
21.3923020362854,45.74171733856201,56.85930323600769,42.259272813797,,,,,,,,
21.42983293533325,48.43178081512451,57.46492648124695,42.390360832214355,,,,,,,,
22.31938600540161,49.40520143508911,58.30310392379761,43.14350962638855,,,,,,,,
22.43128657341004,49.599063873291016,60.47084379196167,43.50844669342041,,,,,,,,
25.029622554779053,49.76167106628418,60.73581671714783,46.76688051223755,,,,,,,,
