,workflow,min_latency,median_latency,avg_latency,tail_latency
0,cycles,10.775726318359375,10.825037717819214,10.826526900132498,10.849488258361816
1,epigenomics,19.70990514755249,20.175098419189453,20.119829495747883,20.364880323410034
2,genome,14.293128252029419,15.465981483459473,15.82582285006841,17.119248628616333
3,soykb,20.870261669158936,21.03096628189087,21.12667042016983,21.543739318847656
