,workflow,min_latency,median_latency,avg_latency,tail_latency
0,cycles,10.664253234863281,10.719573736190796,10.739935318628946,10.870367050170898
1,epigenomics,17.266530752182007,17.317301511764526,17.330167134602863,17.432703971862793
2,genome,14.569090843200684,16.51818871498108,16.704725682735443,18.216768264770508
3,soykb,20.252016067504883,20.344945192337036,20.37637573480606,20.723425149917603
