,workflow,avg_latency,tail_latency
0,cycles,10.723087741269007,10.85834813117981
1,epigenomics,17.390519201755524,17.68937921524048
2,genome,17.32170557975769,19.312746445337932
3,soykb,20.33581068118413,20.608298381169636
