cycles,epigenomics,genome,soykb,cycles_closed,epigenomics_closed,genome_closed,soykb_closed
50.366567611694336,12.999682903289797,7.860994577407837,11.872446060180664,16.272572994232178,12.688657760620115,8.359643936157227,10.229336023330688
78.69818878173828,13.52301287651062,7.951294898986816,12.012919425964355,16.82846426963806,13.663101434707642,8.926807165145874,10.23823356628418
87.22792291641235,14.919857740402222,8.286877632141113,12.319038152694702,17.419827222824097,13.958128929138184,8.96631908416748,10.269052267074585
110.32907485961914,14.972956895828249,8.613984107971191,12.417060852050781,17.98512840270996,14.086252689361572,8.987984657287598,10.2846200466156
119.20237469673155,15.237404108047484,8.637172937393188,12.521571636199951,18.49103188514709,14.382187843322754,9.049214124679564,10.326545238494873
124.2841682434082,15.56637167930603,8.797972440719604,12.590828895568848,18.58179259300232,14.519525289535522,9.188905239105225,10.414522409439087
129.17927312850952,15.59147024154663,8.992370367050171,12.825551271438599,19.14925241470337,14.612344026565552,9.2844500541687,10.574434518814087
135.00057911872864,15.63203263282776,9.165846586227417,12.826087713241577,19.274692058563232,14.853025197982788,9.400086164474487,10.709658145904541
147.42783451080322,15.843672513961792,9.216952800750732,12.857396364212036,19.309196710586548,16.15084934234619,9.9449782371521,10.721461772918701
154.66060400009155,15.856855869293211,9.39854097366333,12.857842683792114,19.78714489936829,16.478618383407593,9.979127645492554,10.760745525360107
161.74489879608154,15.948253631591797,9.53009819984436,13.081652879714966,19.888018369674683,16.485123872756958,10.165410995483398,10.836809158325195
164.7632439136505,16.74990725517273,9.908757448196411,13.953983306884766,20.109756231307983,16.610912561416626,10.17534589767456,11.282309293746948
169.26029777526855,17.10622262954712,10.081486940383911,14.008539915084839,20.191615343093872,16.688313961029053,10.257795333862305,11.74880075454712
169.9699034690857,17.344732761383057,10.230583190917969,14.020501852035522,21.41836214065552,17.20465111732483,10.381416082382202,11.750486850738525
171.8021764755249,17.61128544807434,10.247676134109497,14.104650974273682,21.51596617698669,17.30848717689514,10.556174278259276,11.760184526443481
178.90237021446228,18.297674417495728,10.67917776107788,14.182575702667236,21.946707725524902,17.49202823638916,10.921839237213137,11.993937730789185
179.27813839912417,18.402764797210693,10.717363595962524,14.381424903869629,22.95375847816468,17.720803022384644,10.946273803710938,12.086777448654175
184.92213201522827,19.171870470047,11.20140552520752,14.703449726104736,23.93243193626404,17.998249530792236,11.582294702529907,12.532390117645264
