cycles,epigenomics,genome,soykb,cycles_closed,epigenomics_closed,genome_closed,soykb_closed
10.238837718963625,10.47253155708313,9.647639274597168,9.726758003234863,9.192025184631348,10.357655048370361,9.17808985710144,9.365866661071777
13.04388427734375,10.486478328704834,9.740275859832764,9.75840711593628,9.797724485397339,10.40640902519226,9.45557451248169,9.385069847106934
15.282482624053957,10.615764617919922,9.79007649421692,10.093244552612305,9.799777507781982,10.456766366958618,9.457029581069946,9.388517141342163
16.53848433494568,10.765313386917114,9.869652032852173,10.149142265319824,9.832072019577026,10.467663526535034,9.61207628250122,9.405425786972046
17.950504302978516,10.81705403327942,10.024624109268188,10.201529026031494,9.991455316543579,10.533943891525269,9.650981187820435,9.44730544090271
19.43146586418152,10.852694272994995,10.054560661315918,10.208610773086548,10.95470666885376,10.56354022026062,9.67240285873413,9.634968757629395
19.913858652114868,11.536219358444214,10.100786924362184,10.804935455322266,11.032733678817749,10.586369514465332,10.105790615081787,9.675566673278809
21.178170442581177,11.59826374053955,10.102927207946776,10.872310400009155,11.054244756698608,10.595963954925537,10.210601091384888,9.76931095123291
21.62518000602722,11.868057489395142,10.298061847686768,11.099117755889893,11.260873794555664,10.614599704742432,10.221802711486816,9.869216918945312
22.71697235107422,11.952713966369627,10.340931177139282,11.156631231307983,11.505565404891968,10.872121810913086,10.353378057479858,9.895612955093384
22.90670108795166,12.052594423294067,10.446475982666016,11.463261127471924,11.519943714141846,10.877194881439209,10.39425015449524,9.916821956634521
23.216343641281128,12.053208112716677,10.503135681152344,11.51477599143982,11.615472316741943,11.018629550933838,10.886239767074585,9.981210231781006
23.323680639266968,12.120497941970823,10.762829542160034,11.813162326812744,11.73057222366333,11.404423952102661,11.498391389846802,10.10523772239685
23.56270956993103,12.496357440948486,11.15870451927185,12.04003095626831,11.984412670135498,11.636084079742432,11.85639476776123,11.285584926605225
23.78248143196106,12.598292589187622,12.022878408432009,12.161850929260254,12.089285373687744,11.831466913223267,11.862844705581665,11.63904619216919
23.866039514541622,12.622052431106567,12.464865446090698,12.39539384841919,12.157810688018799,12.666269779205322,12.097121238708496,14.449135541915894
24.35690426826477,13.15373682975769,12.768081903457642,12.407612800598145,12.491927862167358,12.809325456619263,12.138490200042725,14.466912984848022
26.02723383903504,17.726590394973755,13.618289232254028,12.552095413208008,12.864378213882446,13.129583835601807,13.48730206489563,14.970290422439575
